CHAMPION_NAME,ITEM_NAME,ITEM_CATEGORY,PLAYER_PURCHASE_RATE,WIN_RATE,AVG_KDA,MOST_COMMON_FIRST_PURCHASE_MINUTE,TOP_ITEM_1,TOP_ITEM_2,TOP_ITEM_3
JARVANIV,Bramble Vest,Epic,0.0299,0.5,4.39,20,Spirit Visage,Sundered Sky,Black Cleaver
TALON,Boots Of Swiftness,Boots,0.1774,1,3.85,25,Youmuu's Ghostblade,Edge Of Night,Serylda's Grudge
QIYANA,Dusk And Dawn,Legendary,0.0175,1,4.00,20,Hextech Gunblade,Mejai's Soulstealer,Zhonya's Hourglass
SORAKA,Spirit Visage,Legendary,0.0333,1,2.83,25,Moonstone Renewer,Redemption,
MALPHITE,Ruby Crystal,Basic,0.0563,0.25,1.38,5,Bramble Vest,Plated Steelcaps,Sunfire Aegis
JAYCE,Boots,Boots,0.1235,0.5,1.94,10,Youmuu's Ghostblade,Opportunity,Edge Of Night
LILLIA,Liandry's Torment,Legendary,1,0.3571,3.02,15,Riftmaker,Zhonya's Hourglass,Rylai's Crystal Scepter
RENGAR,Elixir Of Wrath,Consumable,0.0175,1,5.20,35,Essence Reaver,Mortal Reminder,Phantom Dancer
LILLIA,Amplifying Tome,Basic,0.2857,0.5,1.18,5,Liandry's Torment,Ionian Boots Of Lucidity,Riftmaker
GALIO,Luden's Companion,Legendary,0.02,0,0.83,15,Zhonya's Hourglass,,
KHAZIX,Lord Dominik's Regards,Legendary,0.0149,0,3.50,15,Bastionbreaker,Opportunity,Profane Hydra
EKKO,Refillable Potion,Consumable,0.01,0,0.43,5,Dark Seal,Dusk And Dawn,Shadowflame
MISSFORTUNE,Stealth Ward,Trinket,0.0345,1,2.44,5,Boots Of Swiftness,Infinity Edge,Lord Dominik's Regards
BARD,Bramble Vest,Epic,0.0128,1,13.00,15,Dead Man's Plate,,
MEL,Cosmic Drive,Legendary,0.1765,0.6667,4.43,20,Blackfire Torch,Rabadon's Deathcap,Bloodletter's Curse
MAOKAI,Kaenic Rookern,Legendary,0.1,1,4.50,30,Zeke's Convergence,,
GALIO,Stormsurge,Legendary,0.1,0.4,4.37,15,Shadowflame,Zhonya's Hourglass,Banshee's Veil
CORKI,Rapid Firecannon,Legendary,0.1154,0.5556,3.77,25,Infinity Edge,Essence Reaver,Mortal Reminder
SHEN,Spectre's Cowl,Epic,0.075,1,4.67,25,Titanic Hydra,Hollow Radiance,Thornmail
VARUS,Tunneler,Epic,0.0246,0.3333,1.42,15,Serrated Dirk,Youmuu's Ghostblade,Manamune
KARMA,Imperial Mandate,Legendary,0.0274,0,3.79,15,Moonstone Renewer,Ardent Censer,Dawncore
ORNN,Frozen Heart,Legendary,0.1707,0.4286,2.60,20,Unending Despair,Hollow Radiance,Sunfire Aegis
GWEN,Negatron Cloak,Epic,0.0128,1,0.25,20,Nashor's Tooth,Sheen,
NIDALEE,Doran's Ring,Starter,0.125,0.25,1.28,5,Boots,Lich Bane,Needlessly Large Rod
BRAUM,Chain Vest,Epic,0.0714,0.6,4.39,20,Bandlepipes,Kindlegem,Locket Of The Iron Solari
KOGMAW,Hexoptics C44,Legendary,0.1429,0.5,1.08,25,Guinsoo's Rageblade,Kraken Slayer,Navori Flickerblade
SION,Kindlegem,Epic,0.0769,0.6667,4.08,15,Hollow Radiance,"Jak'sho, The Protean",Randuin's Omen
SENNA,Serrated Dirk,Epic,0.119,0.8,1.68,10,Eclipse,Hubris,Opportunity
VAYNE,Boots Of Swiftness,Boots,0.0563,0.5,1.50,10,Stormrazor,Essence Reaver,Caulfield's Warhammer
EVELYNN,Void Staff,Legendary,0.25,1,10.08,30,Lich Bane,Rabadon's Deathcap,Banshee's Veil
LEESIN,Bastionbreaker,Legendary,0.0139,1,7.67,15,Edge Of Night,Profane Hydra,Umbral Glaive
AZIR,Elixir Of Sorcery,Consumable,0.0769,0,1.75,40,Dusk And Dawn,Nashor's Tooth,Rabadon's Deathcap
ZED,Executioner's Calling,Epic,0.0108,1,1.17,20,Caulfield's Warhammer,Voltaic Cyclosword,
ZILEAN,Luden's Companion,Legendary,0.0256,0,2.38,30,Cosmic Drive,,
MISSFORTUNE,Edge Of Night,Legendary,0.1034,0.6667,2.62,25,The Collector,Bloodthirster,Bastionbreaker
SORAKA,Kaenic Rookern,Legendary,0.0667,0,3.08,25,Locket Of The Iron Solari,Moonstone Renewer,Redemption
QUINN,Boots Of Swiftness,Boots,0.5,0.25,1.92,25,Profane Hydra,Edge Of Night,Mortal Reminder
SYNDRA,Refillable Potion,Consumable,0.1148,0.7143,3.17,5,Blackfire Torch,Doran's Ring,Mercury's Treads
NEEKO,Control Ward,Consumable,0.6923,0.4444,3.79,15,Hextech Rocketbelt,Ionian Boots Of Lucidity,Zhonya's Hourglass
SIVIR,Cloak Of Agility,Basic,0.1333,0.3333,1.29,20,Essence Reaver,Berserker's Greaves,Infinity Edge
TWISTEDFATE,Farsight Alteration,Trinket,0.3611,0.4615,2.54,15,Lich Bane,Rod Of Ages,Rapid Firecannon
SORAKA,Kindlegem,Epic,0.0667,0,1.83,10,Dawncore,Forbidden Idol,Moonstone Renewer
NAMI,Dark Seal,Starter,0.1119,0.4,3.39,5,Imperial Mandate,Ionian Boots Of Lucidity,Boots Of Swiftness
HEIMERDINGER,Sorcerer's Shoes,Boots,0.4286,0.3333,2.03,20,Blackfire Torch,Liandry's Torment,Malignance
REKSAI,Executioner's Calling,Epic,0.0313,0,3.50,25,Serpent's Fang,Spear Of Shojin,Titanic Hydra
TRYNDAMERE,Profane Hydra,Legendary,0.2941,0.2,1.67,15,The Collector,Lord Dominik's Regards,Navori Flickerblade
HWEI,Blackfire Torch,Legendary,0.8636,0.5789,2.07,15,Liandry's Torment,Rabadon's Deathcap,Horizon Focus
BRAND,Oracle Lens,Trinket,0.4286,0.25,1.25,10,Control Ward,Sorcerer's Shoes,Rylai's Crystal Scepter
PANTHEON,Elixir Of Wrath,Consumable,0.025,1,2.67,30,Hexdrinker,Plated Steelcaps,Sundered Sky
CAITLYN,Maw Of Malmortius,Legendary,0.01,0,2.14,40,Bloodthirster,Infinity Edge,Lord Dominik's Regards
ZERI,Last Whisper,Epic,0.0323,0,1.13,25,Fiendhunter Bolts,Infinity Edge,Yun Tal Wildarrows
SYLAS,Oracle Lens,Trinket,0.4362,0.5366,2.68,10,Hextech Rocketbelt,Riftmaker,Zhonya's Hourglass
XINZHAO,Endless Hunger,Legendary,0.05,1,1.80,25,Black Cleaver,,
VLADIMIR,Stealth Ward,Trinket,0.2105,0.4167,2.26,5,Dark Seal,Doran's Ring,Hextech Rocketbelt
JAYCE,Caulfield's Warhammer,Epic,0.1111,0.6667,2.29,25,Youmuu's Ghostblade,Opportunity,Edge Of Night
XAYAH,Farsight Alteration,Trinket,0.8125,0.5385,2.90,15,Infinity Edge,Navori Flickerblade,Doran's Blade
HEIMERDINGER,Rabadon's Deathcap,Legendary,0.2857,0,1.48,20,Blackfire Torch,Shadowflame,Malignance
JINX,Long Sword,Basic,0.1618,0.4545,2.66,5,Infinity Edge,Yun Tal Wildarrows,Cloak Of Agility
QIYANA,Blasting Wand,Basic,0.0175,0,0.38,25,Boots Of Swiftness,Hextech Gunblade,Stormsurge
LEONA,Winter's Approach,Legendary,0.0182,0,1.80,25,Frozen Heart,,
SIVIR,Phantom Dancer,Legendary,0.0222,0,2.25,35,Infinity Edge,Lord Dominik's Regards,Navori Flickerblade
LUCIAN,Boots,Boots,0.0517,0.3333,1.42,10,Essence Reaver,Infinity Edge,Lord Dominik's Regards
UDYR,Null-Magic Mantle,Basic,0.2667,0.25,1.24,20,Liandry's Torment,Dead Man's Plate,Plated Steelcaps
KHAZIX,The Brutalizer,Epic,0.0299,0.5,2.25,15,Opportunity,Umbral Glaive,Edge Of Night
GRAGAS,Cryptbloom,Legendary,0.0455,0,1.67,30,Hextech Rocketbelt,Rod Of Ages,Zhonya's Hourglass
BARD,Force Of Nature,Legendary,0.0128,1,5.00,25,Bandlepipes,Locket Of The Iron Solari,
LISSANDRA,Amplifying Tome,Basic,0.2941,0.4,1.43,5,Malignance,Shadowflame,Cosmic Drive
URGOT,Stealth Ward,Trinket,0.2353,0.25,1.37,5,Black Cleaver,Boots Of Swiftness,Sterak's Gage
SONA,Kindlegem,Epic,0.08,0.25,1.85,10,Bandleglass Mirror,Echoes Of Helia,Forbidden Idol
TARIC,Oracle Lens,Trinket,1,0.5714,2.32,10,Control Ward,Locket Of The Iron Solari,Plated Steelcaps
SENNA,Berserker's Greaves,Boots,0.0238,0,2.75,20,Black Cleaver,Executioner's Calling,Zeal
MISSFORTUNE,Farsight Alteration,Trinket,0.8621,0.68,2.51,20,The Collector,Infinity Edge,Doran's Blade
MALPHITE,Doran's Shield,Starter,0.169,0.5833,1.48,5,Plated Steelcaps,Cloth Armor,Malignance
VOLIBEAR,Redemption,Legendary,0.0175,0,1.10,35,Cosmic Drive,Dusk And Dawn,Frozen Heart
NASUS,Negatron Cloak,Epic,0.0417,1,4.33,25,Frozen Heart,Giant's Belt,Iceborn Gauntlet
TRISTANA,Stealth Ward,Trinket,0.2154,0.5,1.74,5,Doran's Blade,Infinity Edge,Yun Tal Wildarrows
SYNDRA,Banshee's Veil,Legendary,0.0164,0,0.78,25,Luden's Companion,Void Staff,
TRISTANA,Navori Flickerblade,Legendary,0.4154,0.4815,2.68,20,Infinity Edge,Yun Tal Wildarrows,Lord Dominik's Regards
HECARIM,Farsight Alteration,Trinket,0.1053,0.5,4.56,25,Death's Dance,Endless Hunger,Ionian Boots Of Lucidity
OLAF,Immortal Shieldbow,Legendary,0.087,0,0.96,20,Fiendhunter Bolts,Infinity Edge,Stridebreaker
TALIYAH,Seeker's Armguard,Epic,0.0169,1,6.50,20,Luden's Companion,Mejai's Soulstealer,
AZIR,Stealth Ward,Trinket,0.1538,0.5,1.11,5,Nashor's Tooth,Amplifying Tome,Liandry's Torment
MORGANA,Stealth Ward,Trinket,0.0769,0,0.67,5,Blackfire Torch,Doran's Ring,Haunting Guise
TRYNDAMERE,Mortal Reminder,Legendary,0.0588,0,1.14,20,Ravenous Hydra,,
CORKI,Infinity Edge,Legendary,0.4744,0.5946,3.11,25,Essence Reaver,The Collector,Trinity Force
KARTHUS,Morellonomicon,Legendary,0.0476,1,1.89,30,Blackfire Torch,Shadowflame,Liandry's Torment
SHYVANA,Haunting Guise,Epic,0.25,1,4.33,20,Dusk And Dawn,Fiendish Codex,Spear Of Shojin
KENNEN,Oracle Lens,Trinket,0.4571,0.4375,2.44,20,Shadowflame,Sorcerer's Shoes,Hextech Rocketbelt
DIANA,Cloth Armor,Basic,0.0556,0.1667,2.17,20,Dusk And Dawn,Amplifying Tome,Riftmaker
NAMI,Elixir Of Iron,Consumable,0.0075,1,3.33,30,Control Ward,Echoes Of Helia,Forbidden Idol
IRELIA,Oracle Lens,Trinket,0.0667,0.75,3.98,20,Blade Of The Ruined King,Kraken Slayer,Plated Steelcaps
MEL,Blackfire Torch,Legendary,0.5588,0.3158,2.71,15,Rabadon's Deathcap,Zhonya's Hourglass,Shadowflame
MONKEYKING,Cloth Armor,Basic,0.0769,0,2.32,20,Sundered Sky,Trinity Force,Black Cleaver
VOLIBEAR,Doran's Shield,Starter,0.0175,0,0.50,5,Chain Vest,Ionian Boots Of Lucidity,Kindlegem
FIORA,Caulfield's Warhammer,Epic,0.1538,0.6667,1.92,10,Ravenous Hydra,Trinity Force,Steel Sigil
NILAH,Doran's Shield,Starter,0.1538,0.5,0.38,5,The Collector,Cull,Infinity Edge
DARIUS,Negatron Cloak,Epic,0.1951,0.5,6.99,20,Stridebreaker,Sterak's Gage,Death's Dance
PYKE,Bastionbreaker,Legendary,0.06,0,1.87,15,Opportunity,Youmuu's Ghostblade,Axiom Arc
GALIO,Refillable Potion,Consumable,0.06,0.3333,1.70,5,Doran's Ring,Cloth Armor,Hextech Rocketbelt
NOCTURNE,Death's Dance,Legendary,0.2667,1,5.06,25,Black Cleaver,Experimental Hexplate,Stridebreaker
KHAZIX,Guardian Angel,Legendary,0.0448,1,8.30,35,Serylda's Grudge,Edge Of Night,Profane Hydra
VOLIBEAR,Cloth Armor,Basic,0.1228,0.5714,1.51,20,Dusk And Dawn,Navori Flickerblade,Mercury's Treads
AKSHAN,Stormrazor,Legendary,0.098,0.8,3.69,15,Infinity Edge,The Collector,Lord Dominik's Regards
EKKO,Cosmic Drive,Legendary,0.01,0,3.38,35,Dusk And Dawn,Rabadon's Deathcap,Shadowflame
DIANA,Nashor's Tooth,Legendary,0.0185,0.5,1.15,10,Dusk And Dawn,,
YORICK,Caulfield's Warhammer,Epic,0.1667,0,0.44,20,Last Whisper,Spear Of Shojin,Trinity Force
URGOT,Bramble Vest,Epic,0.1765,0,2.18,25,Black Cleaver,Sterak's Gage,Chain Vest
RIVEN,Doran's Shield,Starter,0.027,1,0.67,5,Long Sword,Axiom Arc,Pickaxe
MORDEKAISER,Chain Vest,Epic,0.0909,0,0.94,25,Riftmaker,Bloodletter's Curse,Liandry's Torment
KOGMAW,Quicksilver Sash,Epic,0.0714,1,3.33,30,Blade Of The Ruined King,Giant's Belt,Guinsoo's Rageblade
MAOKAI,Bandlepipes,Legendary,0.3,0.6667,1.87,15,Dead Man's Plate,Knight's Vow,Locket Of The Iron Solari
NOCTURNE,Long Sword,Basic,0.3333,0.2,1.56,15,Boots,Stridebreaker,Axiom Arc
REKSAI,Sterak's Gage,Legendary,0.1875,0.1667,2.52,30,Spear Of Shojin,Titanic Hydra,Black Cleaver
MONKEYKING,Maw Of Malmortius,Legendary,0.1923,0.8,4.57,25,Black Cleaver,Trinity Force,Sundered Sky
NIDALEE,Boots,Boots,0.25,0.125,0.93,10,Lich Bane,Echoes Of Helia,Seeker's Armguard
ZOE,Cloth Armor,Basic,0.0303,0,1.00,5,Amplifying Tome,Luden's Companion,Shadowflame
BELVETH,Pickaxe,Basic,0.1429,0.3333,2.10,20,Plated Steelcaps,Steel Sigil,Yun Tal Wildarrows
NAAFIRI,Eclipse,Legendary,0.1746,0.1818,1.60,15,Black Cleaver,Death's Dance,Edge Of Night
VELKOZ,Hextech Alternator,Epic,0.1471,0,1.29,15,Luden's Companion,Zhonya's Hourglass,Aether Wisp
AKSHAN,Farsight Alteration,Trinket,0.6863,0.5714,2.74,15,The Collector,Umbral Glaive,Infinity Edge
VI,Mortal Reminder,Legendary,0.1,0,2.33,25,Opportunity,Youmuu's Ghostblade,
RENATA,Quicksilver Sash,Epic,0.1111,0,4.00,25,Blighting Jewel,Nashor's Tooth,Rabadon's Deathcap
KHAZIX,Plated Steelcaps,Boots,0.0597,0.5,4.06,20,Umbral Glaive,Opportunity,Axiom Arc
TRISTANA,Boots,Boots,0.0462,0,0.29,10,Yun Tal Wildarrows,Infinity Edge,Noonquiver
KSANTE,Null-Magic Mantle,Basic,0.1176,0,1.18,10,Iceborn Gauntlet,Plated Steelcaps,Bramble Vest
RENEKTON,Oracle Lens,Trinket,0.1846,0.5,1.90,25,Sterak's Gage,Black Cleaver,Eclipse
GNAR,"Jak'sho, The Protean",Legendary,0.04,0,0.56,30,Black Cleaver,,
SYNDRA,Cosmic Drive,Legendary,0.3934,0.4583,2.55,20,Blackfire Torch,Rabadon's Deathcap,Mejai's Soulstealer
XINZHAO,Oracle Lens,Trinket,0.3,0.5,2.90,5,Sundered Sky,Black Cleaver,Plated Steelcaps
FIDDLESTICKS,Oblivion Orb,Epic,0.1071,0.3333,2.08,15,Liandry's Torment,Bloodletter's Curse,Hextech Rocketbelt
SION,"Jak'sho, The Protean",Legendary,0.359,0.4286,2.86,30,Unending Despair,Hollow Radiance,Randuin's Omen
SORAKA,Redemption,Legendary,0.5667,0.5294,3.23,20,Moonstone Renewer,Dawncore,Ardent Censer
NEEKO,Refillable Potion,Consumable,0.0769,0.6667,2.51,5,Hextech Rocketbelt,Ionian Boots Of Lucidity,Amplifying Tome
LUX,Elixir Of Iron,Consumable,0.0256,1,6.00,30,Amplifying Tome,Echoes Of Helia,Horizon Focus
SWAIN,Quicksilver Sash,Epic,0.0227,1,1.88,15,Blackfire Torch,Oblivion Orb,Rylai's Crystal Scepter
SETT,Doran's Blade,Starter,0.3889,0.4286,1.02,5,Stridebreaker,Long Sword,Ruby Crystal
BARD,Boots,Boots,0.0385,0.3333,1.11,5,Dead Man's Plate,Bandlepipes,Kindlegem
TRISTANA,Vampiric Scepter,Epic,0.1077,0.5714,2.77,35,Infinity Edge,Navori Flickerblade,Yun Tal Wildarrows
ZERI,Stormrazor,Legendary,0.0645,0.5,3.01,15,Fiendhunter Bolts,Infinity Edge,Lord Dominik's Regards
YUNARA,Zeal,Epic,0.0366,0.3333,1.76,15,Kraken Slayer,Scout's Slingshot,Bloodthirster
KAISA,Executioner's Calling,Epic,0.0097,0,1.71,25,Fiendhunter Bolts,Guinsoo's Rageblade,Infinity Edge
ZIGGS,Amplifying Tome,Basic,0.0968,0.3333,1.81,5,Luden's Companion,Shadowflame,Sorcerer's Shoes
URGOT,Hullbreaker,Legendary,0.0588,1,2.50,15,,,
TALIYAH,Farsight Alteration,Trinket,0.3559,0.5714,2.85,15,Needlessly Large Rod,Rylai's Crystal Scepter,Liandry's Torment
EKKO,Mercury's Treads,Boots,0.12,0.5833,3.66,15,Dusk And Dawn,Shadowflame,Rabadon's Deathcap
SHACO,Bastionbreaker,Legendary,0.04,1,4.17,30,Profane Hydra,Youmuu's Ghostblade,
AURELIONSOL,Farsight Alteration,Trinket,0.6774,0.5238,4.56,15,Rylai's Crystal Scepter,Liandry's Torment,Blackfire Torch
VOLIBEAR,Force Of Nature,Legendary,0.0526,1,1.69,25,Dusk And Dawn,Navori Flickerblade,Spirit Visage
AKALI,Seeker's Armguard,Epic,0.0806,0.6,2.45,25,Hextech Gunblade,Shadowflame,Rabadon's Deathcap
GAREN,Cloth Armor,Basic,0.0811,0.3333,1.31,20,Stridebreaker,Phantom Dancer,Black Cleaver
RYZE,Mejai's Soulstealer,Legendary,0.0112,0,0.33,25,Rod Of Ages,,
MALZAHAR,Shadowflame,Legendary,0.2857,1,2.03,30,Liandry's Torment,Blackfire Torch,Malignance
VIKTOR,Blighting Jewel,Epic,0.1111,0.25,2.11,30,Zhonya's Hourglass,Liandry's Torment,Luden's Companion
SWAIN,Refillable Potion,Consumable,0.0682,0.3333,2.00,5,Doran's Ring,Malignance,Rylai's Crystal Scepter
APHELIOS,B. F. Sword,Basic,0.1398,0.4615,1.64,10,The Collector,Pickaxe,Berserker's Greaves
SIVIR,Essence Reaver,Legendary,0.7556,0.4118,2.15,15,Infinity Edge,Navori Flickerblade,Lord Dominik's Regards
EZREAL,B. F. Sword,Basic,0.0462,0.3333,2.86,35,Ionian Boots Of Lucidity,Spear Of Shojin,Trinity Force
YUNARA,Yun Tal Wildarrows,Legendary,0.0732,0.8333,1.65,15,Infinity Edge,Fiendhunter Bolts,Phantom Dancer
FIDDLESTICKS,Bandlepipes,Legendary,0.0357,0,1.20,25,Trailblazer,,
NAAFIRI,Caulfield's Warhammer,Epic,0.1111,0.2857,1.67,10,Eclipse,Last Whisper,Opportunity
DRAVEN,Farsight Alteration,Trinket,0.9318,0.5854,2.38,20,Infinity Edge,The Collector,Berserker's Greaves
ILLAOI,Mercury's Treads,Boots,0.375,0.6667,3.51,15,Spear Of Shojin,Spirit Visage,Sterak's Gage
VELKOZ,Blackfire Torch,Legendary,0.2353,0.5,3.25,15,Shadowflame,Mejai's Soulstealer,Rabadon's Deathcap
RUMBLE,Ionian Boots Of Lucidity,Boots,0.0667,1,2.83,15,Fiendish Codex,Bloodletter's Curse,Hextech Rocketbelt
DRMUNDO,Elixir Of Iron,Consumable,0.0548,0.75,7.22,30,Boots Of Swiftness,Dead Man's Plate,Heartsteel
ORIANNA,Verdant Barrier,Epic,0.0278,1,4.00,20,Luden's Companion,Rabadon's Deathcap,Shadowflame
SWAIN,Abyssal Mask,Legendary,0.0227,1,3.57,25,Rylai's Crystal Scepter,Zhonya's Hourglass,
AMBESSA,Death's Dance,Legendary,0.383,0.6111,3.82,25,Profane Hydra,Spear Of Shojin,Axiom Arc
AMBESSA,Elixir Of Wrath,Consumable,0.0532,0.6,7.07,30,Axiom Arc,Death's Dance,Endless Hunger
XINZHAO,Cloth Armor,Basic,0.1,0,0.67,20,Black Cleaver,Long Sword,Plated Steelcaps
EKKO,Seeker's Armguard,Epic,0.06,0.1667,2.18,25,Dusk And Dawn,Shadowflame,Rabadon's Deathcap
VIEGO,Cloth Armor,Basic,0.0177,0,5.75,10,Kraken Slayer,Noonquiver,
SERAPHINE,Blasting Wand,Basic,0.0625,1,3.88,25,Blackfire Torch,Echoes Of Helia,Amplifying Tome
SENNA,Eclipse,Legendary,0.0476,1,1.82,10,Opportunity,Edge Of Night,
PYKE,Voltaic Cyclosword,Legendary,0.06,0,2.10,20,Edge Of Night,Umbral Glaive,Axiom Arc
KENNEN,Boots,Boots,0.0286,1,3.00,5,Hextech Gunblade,Zhonya's Hourglass,
SONA,Glowing Mote,Basic,0.04,0,1.52,10,Echoes Of Helia,Boots,Boots Of Swiftness
YORICK,Endless Hunger,Legendary,0.0833,1,2.75,20,Spirit Visage,Trinity Force,
SYLAS,Morellonomicon,Legendary,0.0106,1,2.50,30,Hextech Gunblade,Hextech Rocketbelt,Riftmaker
SHACO,Edge Of Night,Legendary,0.04,0,5.40,25,Profane Hydra,Serylda's Grudge,Umbral Glaive
TAHMKENCH,Ruby Crystal,Basic,0.3077,1,2.79,5,Heartsteel,Dusk And Dawn,Boots
KAYN,Farsight Alteration,Trinket,0.1379,0.5,3.92,15,Opportunity,Axiom Arc,Ionian Boots Of Lucidity
TAHMKENCH,Dagger,Basic,0.1538,0.5,0.98,20,Mercury's Treads,Dusk And Dawn,Glowing Mote
KOGMAW,Refillable Potion,Consumable,0.0714,0,0.88,5,Blade Of The Ruined King,Doran's Blade,Guinsoo's Rageblade
RAKAN,Bandlepipes,Legendary,0.3095,0.3846,2.96,15,Locket Of The Iron Solari,Zeke's Convergence,Shurelya's Battlesong
TRUNDLE,Negatron Cloak,Epic,0.0909,1,0.92,30,Spirit Visage,Trinity Force,Winged Moonplate
YASUO,Blade Of The Ruined King,Legendary,0.4922,0.3492,1.34,15,Immortal Shieldbow,Infinity Edge,Death's Dance
OLAF,Elixir Of Wrath,Consumable,0.087,0.5,2.04,30,Plated Steelcaps,Stridebreaker,Death's Dance
AKALI,Blasting Wand,Basic,0.0806,0.4,2.05,30,Hextech Gunblade,Shadowflame,Blighting Jewel
SWAIN,Tear Of The Goddess,Starter,0.0227,1,1.00,5,Doran's Ring,Rylai's Crystal Scepter,
AURORA,Bloodletter's Curse,Legendary,0.0455,0,1.43,25,Hextech Rocketbelt,,
IRELIA,Zhonya's Hourglass,Legendary,0.0167,1,1.92,35,Blade Of The Ruined King,Death's Dance,Kraken Slayer
ORNN,Mercury's Treads,Boots,0.2195,0.6667,2.13,15,Hollow Radiance,Giant's Belt,Unending Despair
JAYCE,Farsight Alteration,Trinket,0.1975,0.625,2.26,15,Youmuu's Ghostblade,Doran's Blade,Ionian Boots Of Lucidity
SERAPHINE,Dream Maker,Legendary,0.0625,0.5,1.58,15,Echoes Of Helia,Dawncore,
POPPY,Elixir Of Iron,Consumable,0.0526,1,1.67,35,Bandlepipes,Doran's Shield,Iceborn Gauntlet
EZREAL,Tunneler,Epic,0.1077,0.5714,3.22,30,Essence Reaver,Trinity Force,Endless Hunger
NAAFIRI,Refillable Potion,Consumable,0.0794,0.4,1.02,5,Voltaic Cyclosword,Doran's Blade,Long Sword
SIVIR,Executioner's Calling,Epic,0.0444,0,1.46,25,Navori Flickerblade,Essence Reaver,Infinity Edge
KOGMAW,Negatron Cloak,Epic,0.0714,0,0.50,30,Guinsoo's Rageblade,Hexoptics C44,Navori Flickerblade
BARD,Plated Steelcaps,Boots,0.0641,0.6,5.25,20,Dead Man's Plate,Kindlegem,Bandlepipes
MORDEKAISER,Needlessly Large Rod,Basic,0.0455,0,2.00,30,Dusk And Dawn,Experimental Hexplate,Hextech Rocketbelt
ILLAOI,Hexdrinker,Epic,0.125,0,1.00,20,Bramble Vest,Spear Of Shojin,
KASSADIN,Mercury's Treads,Boots,0.2603,0.6842,2.85,15,Rod Of Ages,Malignance,Zhonya's Hourglass
SHACO,Aether Wisp,Epic,0.04,0,2.00,25,Abyssal Mask,Fiendish Codex,Kindlegem
KARTHUS,Horizon Focus,Legendary,0.1667,0.4286,2.70,20,Blackfire Torch,Shadowflame,Rabadon's Deathcap
GALIO,Ionian Boots Of Lucidity,Boots,0.02,0,0.63,25,Fiendish Codex,Haunting Guise,Hextech Rocketbelt
ASHE,Yun Tal Wildarrows,Legendary,0.0833,0.5,1.60,10,Phantom Dancer,Infinity Edge,Mortal Reminder
TALIYAH,Needlessly Large Rod,Basic,0.339,0.6,3.63,15,Blackfire Torch,Liandry's Torment,Rylai's Crystal Scepter
MASTERYI,The Collector,Legendary,0.0333,1,5.00,15,Fiendhunter Bolts,Infinity Edge,
GWEN,Boots Of Swiftness,Boots,0.0641,0.8,3.84,15,Dusk And Dawn,Nashor's Tooth,Mejai's Soulstealer
JARVANIV,Sterak's Gage,Legendary,0.0746,0.6,3.10,30,Sundered Sky,Black Cleaver,Eclipse
KLED,Phage,Epic,0.2,0.5,3.61,25,Kindlegem,Eclipse,Profane Hydra
RAMMUS,"Jak'sho, The Protean",Legendary,0.2,0,1.90,25,Thornmail,Protoplasm Harness,Randuin's Omen
VLADIMIR,Blighting Jewel,Epic,0.1053,0.3333,2.06,30,Hextech Rocketbelt,Rabadon's Deathcap,Riftmaker
AKSHAN,Umbral Glaive,Legendary,0.451,0.5217,2.77,10,Serpent's Fang,The Collector,Lord Dominik's Regards
MAOKAI,Liandry's Torment,Legendary,0.1,1,4.00,15,Bloodletter's Curse,,
NAMI,Forbidden Idol,Epic,0.2164,0.5862,3.27,20,Imperial Mandate,Echoes Of Helia,Fiendish Codex
TARIC,Ruby Crystal,Basic,0.0714,1,5.60,10,Locket Of The Iron Solari,Mercury's Treads,Zeke's Convergence
BELVETH,Yun Tal Wildarrows,Legendary,0.2857,0.5,1.82,15,Black Cleaver,Bloodthirster,Death's Dance
VLADIMIR,Bloodletter's Curse,Legendary,0.0351,1,3.25,20,Hextech Rocketbelt,Riftmaker,Mejai's Soulstealer
OLAF,Refillable Potion,Consumable,0.087,0,0.52,5,Doran's Blade,Long Sword,Ravenous Hydra
CASSIOPEIA,Aether Wisp,Epic,0.0385,1,3.00,30,Liandry's Torment,Rod Of Ages,Rylai's Crystal Scepter
SONA,Boots,Boots,0.12,0,1.76,10,Echoes Of Helia,Bandleglass Mirror,Kindlegem
AZIR,Zhonya's Hourglass,Legendary,0.2308,0.3333,1.33,20,Nashor's Tooth,Rabadon's Deathcap,Dusk And Dawn
JARVANIV,Tunneler,Epic,0.0597,0.5,4.86,10,Black Cleaver,Sundered Sky,Axiom Arc
SETT,Long Sword,Basic,0.2222,0,0.43,5,Plated Steelcaps,Stridebreaker,Blade Of The Ruined King
TARIC,Zeal,Epic,0.0714,0,2.18,25,Frozen Heart,Locket Of The Iron Solari,
KAYN,Hubris,Legendary,0.1379,1,3.66,10,Serylda's Grudge,Serpent's Fang,Axiom Arc
TEEMO,Hextech Gunblade,Legendary,0.2857,0.5,1.30,15,Liandry's Torment,Bloodletter's Curse,Malignance
KINDRED,The Collector,Legendary,0.8,0.5833,3.04,20,Kraken Slayer,Infinity Edge,Lord Dominik's Regards
SIVIR,Serpent's Fang,Legendary,0.0222,1,2.89,30,Bloodthirster,Essence Reaver,Fiendhunter Bolts
DRAVEN,Rapid Firecannon,Legendary,0.0682,0.6667,1.51,30,Infinity Edge,Lord Dominik's Regards,Bloodthirster
